No,Brand,Category,Name,Ingredients,Used For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D'Herbs,Healthcare,Gamolex Gold,"Cranberries, Tribulus, Roselle, Appricot, Acai Berry, Zaffaran, Bird Nest, Mangoosten, Aloe Vera, Gamat, Kurma, Pomegranate,","Angin Ahmar, Gastrik, Ulser, Kaki Pecah, Kitaran Haid, Dalaman Wanita, Parut, Bibir Kering, Menaikkan Seri Wajah, Menyuburkan Rambut, Darah Tinggi, Kencing Manis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D'Herbs,Slimming,Fiber Fantasi,"Oligo, Ekstrak Buah Peach, Epal Fiber, Casia Angustifolia, Tribulus, Kolagen, Hodia, Teh Hijau","Memberi rasa kenyang berpanjangan, membantu masalah penghadaman, menegang kulit, mencerah kulit, mengawal berat badan, meningkatkan kecergasan badan, masalah sembelit, mengurangkan berat badan, membantu amalan diet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D'Herbs,Men's Health,Jus Arjuna Maxx,"Butea supermadu, Acai berry, Goji, Tongkat ali, Habatussauda, Gingseng, Kismis, Ashwagandha, Misai kucing, Guaran Sal palmetto",Menyelesaikan masalah dalaman lelaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D'Herbs,Women's Health,Jus Perawan Gold,"Kacip Fatimah, Manjakani, Pueraria Mirifica, Acai Berry, Kurma, Madu, Roselle, Delima , Kolagen ",Menyelesaikan masalah dalaman wanita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D'Herbs,Skincare,Glow B White,"Sarang Burung, Acai Berry, Aloe Vera, Goji, Kolagen, ","Membaikpulih struktur epidermis, menebalkan kulit, menyamar garisan halus, antioksidan, menyembuhkan radang kulit, merawat kesan terbakar, menggalakkan metabolisme, kekenyalan dan keanjalan kulit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D'Herbs,Healthcare,Kopi Nikmat,"Kopi Brazil, Hazelnut, Madu, Aprikot, Ginseng, Goji, Acai Berry","Meningkatkan tahap kecergasan,  melancarkan peredaran darah, Menyingkirkan toksin, Menstabilkan tekanan darah, Memelihara sistem saraf, Membantu mengukuhkan tulang dan otot,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D'Herbs,Hair Care,Krim Super Lebat,"Buah zaitun, Spirulina, Mengkudu, Bunga raya, Minyak Kelapa Dara","Mengekalkan rambut asli kehitam-hitaman, Membekalkan oksigen yang mencukupi untuk rambut, Mengatasi masalah rambut gugur, Melebatkan rambut, Kelemumur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D'Herbs,Skincare,Mukjizat Soap Herbal Body Scrub,"Kulit Kayu Manis, Cengkih",Menyelesaikan masalah kulit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D'Herbs,Women's Health,Perawan Herbal Wash,"Kacip Fatimah, Daun sireh, Manjakani",Membersihkan mahkota wanita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D'Herbs,Hair Care,Shampoo Super Lebat,"Hibiscus, Minyak Kelapa Dara, Olive Oil, Spirulina, Mengkudu, Citrus hystrix","Mengekalkan rambut asli kehitam-hitaman, Digunakan sebagai shampoo harian, Membekalkan oksigen kepada rambut, Mengatasi masalah gugur, beruban, kelemumur,  melebatkan rambut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D'Herbs,Skincare,Gel Mandian Aura 7 Bunga,"Aloe Vera, Minyak Kelapa, Daun Pudina, Bunga Matahari, Bunga Raya, Mawar, Melati, Orkid, Lavender, Kenanga","Menyingkirkan kesan kotoran dan sel kulit mati, Memelihara kelembapan dan kehalusan kulit, Mengekalkan keanjalan dan keremajaan kulit anda, Mengecilkan liang pori, Membantu meredakan masalah radang, Mengharumkan tubuh badan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Vasia,Healthcare,Platinum Drink,"Maquiberry, Delima, Mengkudu, Blueberry, Beri Acai, Beri Goji, Manggis, Prun, Ganoderma Lingzhi, Kunyit, Kismis, Halia Bara, Tomato, Beri Camu, Buah Pir, Markisa, Halba, Roselle, Aprikot, Bawang Putih, Betik, Kiwi, Cranberry, Alfalfa, Kulit Kayu Manis, Epal Hijau, Madu, Habbatus Sauda, Cordyceps, Aronia, Oren, Buah Tin, Temulawak, Peria, Spirulina, Anggur, Daun Belalai Gajah, Beta Karotena, Laici, Akar Ginseng, Minyak zaitun, cekur, Cengkih, Misai Kucing, Ceri Acerola, Rumpai Laut, Aloe Vera, Bilberi, Dong Quai, Saffron, Daun Teh Hijau","Antioksidan, Mencegah kanser, Mengawal tekanan darah dan kolesterol, merawat penyakit buah pinggang, merawat masalah kulit, masalah rambut gugur, uban, menambah stamina zahir dan batin, mengatasi masalah senggugut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Vasia,Skincare,Herbal Lightening Soap,"Jojoba, Lime Blossom, Aloe Vera, Ginkgo Biloba, Betik, Myrtle, Avokado, Timun, Kolagen","Meningkatkan kelembapan kulit, Mencerahkan kulit, Meningkatkan keanjalan kulit, Mengecilkan liang pori pada kulit, Mengekalkan keremajaan kulit, Menyingkir kesan mekap, minyak dan sel kulit mati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vasia,Skincare,Advance White,"Anggur, Kolagen, Tomato, Kulit Kayu Pain, Sukralosa, Ceri Acerola, Lycopene, Ceri Acerola, Beta-Karotene, Asid Sitrik, Oren, Limau","Meningkatkan kecerahan kulit, Meningkatkan keanjalan dan kehalusan kulit, Mengekalkan kelembapan kulit, Membantu menegangkan kulit, Melambatkan proses penuaan kulit, Menyingkir toksin dari tubuh badan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vasia,Hair Care,Syampu Ikalurus,"Minyak Zaitun, Akar Ginseng, Ginkgo Biloba, Salvia Sclarea, Bunga Raya, Susu Kambing","Menjadikan rambut lebih sihat dan bersinar, Menguatkan rambut, Melebatkan rambut, Menggalakkan pertumbuhan rambut, Mengatasi kegatalan pada kulit kepala, Membantu membasmi kelemumur, Membantu mengatasi masalah rambut gugur dan bercabang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vasia,Hair Care,Gel Rambut Uban dan Lebat,"Inai, Zaitun, Argan, Jojoba, Macadamia, Kolagen, Panthenol, Protein Soya","Menghitamkan warna rambut yang beruban, Menyuburkan rambut, Merapikan rambut anda, Mengekalkan kelembutan dan kelembapan rambut, Merawat masalah kelemumur, Menjadikan rambut anda lebih bersinar, Mengatasi masalah rambut kering, kasar dan tidak bermaya, Turut bertindak sebagai gel untuk menggayakan rambut anda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Vasia,Slimming,Sabun Panas Herba,"Capsicum, Serai Wangi, Halia, Limau Nipis, Pegaga, Kayu Manis, Kolagen","Mengurangkan kesan selulit, Membersihkan kesan kotoran dan sel kulit mati pada tubuh, Menyingkirkan toksin, Mengatasi masalah perut buncit, Menggalakkan pembakaran lemak, Melancarkan peredaran darah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Vasia,Slimming,Fiber Coffee,"L-Carnitine, Garcinia Cambogia, Hoodia Gordoni, Kopi Hijau, Kacang Ginjal Putih, Inulin, Kolagen Marin, Kopi, Koko, Susu Skim, Aspartame","Membantu mengatasi masalah berat badan yang berlebihan, Menurunkan berat badan secara sihat dan berkesan, Membantu meningkatkan tahap metabolisme, Melancarkan proses penghadaman, Menggalakkan pembakaran lemak dan kalori, Melangsingkan tubuh badan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vasia,Women's Health,Rapat Seri V'asia,"Plum, Akar Serapat, Manjakani, Kacip Fatimah, Senduduk, Kunyit, Habbatus Sauda, Sirih, Buah Pinang, Multivitamin","Menyingkirkan toksin dari tubuh badan, Membantu memelihara kesihatan dalaman kaum wanita, Mengetatkan otot faraj, Mengatasi masalah bau yang kurang menyenangkan pada bahagian intim, Menstabilkan tekanan darah, Membantu melancarkan peredaran darah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vasia,Women's Health,Payu Maxx,"Mangga, Pic, Pueraria Mirifica, Pueraria Lobata, Isoflavon Soya, Manjakani, Sirih, Buah Pinang, Kunyit, Habbatus Sauda","Membantu menambahkan saiz payudara, Meningkatkan ketegangan dan keanjalan bahagian payudara, Meningkatkan kecerahan kulit terutamanya di bahagian payudara, Mengatasi masalah parut, kedutan dan garis-garis halus, Memelihara kejelitaan dankeremajaan kulit anda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Vasia,Men's Health,Perfect Man,"Tongkat Ali, Butea Superba, Ginkgo Biloba, Tribulus Terrestris, Passionfruit, Asid Sitrik, Kalsium Laktat, Ashwagandha, Delima, Kolagen Terhidrolisis, Garcinia Cambogia, Horny Goat Weed, Maca, Saw Palmetto","Meningkatkan tahap tenaga dan kecergasan jasmani, Merangsang tenaga dan keupayaan seksual, Membantu menambah saiz dan ukuran zakar, Membantu mengatasi masalah kesuburan, Meningkatkan kuantiti sperma yang berkualiti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vida Beauty,Healthcare,Pamoga,"Gamat, Delima, Chlorella","Membantu meningkatkan tahap stamina dan kecergasan, Melindungi tubuh daripada jangkitan penyakit, Mengawal paras kolestrol dan gula dalam darah, Menguatkan otot, Memelihara kecantikan kulit serta rambut, Mengatasi masalah radang, Mencegah proses penuaan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Almas,Healthcare,Jus Nusantara,"Delima, Madu, Kurma, Habbatus Sauda, Temulawak, Halia Bara, Cekur, Kunyit, Halba, Bunga Cengkih, Kulit Kayu Manis, Lada Hitam","Meningkatkan tahap tenaga jasmani, Mengawal paras kolestrol dan gula dalam darah, Menstabilkan tekanan darah, Mengatasi masalah angin dalam badan, Meredakan kekejangan otot, Mengatasi masalah kelesuan, Memulihkan luka luaran dan dalaman, Menguatkan daya ketahanan tubuh badan, Meningkatkan tahap kesihatan secara menyeluruh, merawat masalah dalaman kaum wanita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
